,County,Year,Deaths,Population,Crude Rate
0,"Abbeville County, SC",2012.0,19,25101,Unreliable
1,"Abbeville County, SC",2015.0,17,24932,Unreliable
2,"Abbeville County, SC",2017.0,12,24722,Unreliable
3,"Abbeville County, SC",2014.0,24,24965,96.1
4,"Abbeville County, SC",2013.0,23,25007,92
5,"Abbeville County, SC",2016.0,22,24872,88.5
6,"Acadia Parish, LA",2015.0,52,62577,83.1
7,"Acadia Parish, LA",2013.0,51,62204,82
8,"Acadia Parish, LA",2017.0,47,62590,75.1
9,"Acadia Parish, LA",2012.0,37,61912,59.8
10,"Acadia Parish, LA",2016.0,36,62645,57.5
11,"Acadia Parish, LA",2014.0,32,62486,51.2
12,"Accomack County, VA",2013.0,38,33148,114.6
13,"Accomack County, VA",2014.0,36,33021,109
14,"Accomack County, VA",2016.0,35,32947,106.2
15,"Accomack County, VA",2012.0,34,33341,102
16,"Accomack County, VA",2017.0,30,32545,92.2
17,"Accomack County, VA",2015.0,24,32973,72.8
18,"Ada County, ID",2013.0,155,416464,37.2
19,"Ada County, ID",2014.0,148,426236,34.7
20,"Ada County, ID",2016.0,148,444028,33.3
21,"Ada County, ID",2015.0,143,434211,32.9
22,"Ada County, ID",2012.0,130,409061,31.8
23,"Ada County, ID",2017.0,121,456849,26.5
24,"Adair County, IA",2017.0,13,7054,Unreliable
25,"Adair County, KY",2012.0,14,18675,Unreliable
26,"Adair County, KY",2013.0,15,18732,Unreliable
27,"Adair County, KY",2014.0,15,19204,Unreliable
28,"Adair County, KY",2015.0,10,19027,Unreliable
29,"Adair County, KY",2017.0,13,19485,Unreliable
30,"Adair County, MO",2013.0,11,25572,Unreliable
31,"Adair County, MO",2014.0,19,25602,Unreliable
32,"Adair County, MO",2016.0,13,25359,Unreliable
33,"Adair County, MO",2017.0,22,25377,86.7
34,"Adair County, OK",2012.0,13,22286,Unreliable
35,"Adair County, OK",2013.0,15,22194,Unreliable
36,"Adair County, OK",2014.0,18,22186,Unreliable
37,"Adair County, OK",2015.0,18,22004,Unreliable
38,"Adair County, OK",2016.0,10,22098,Unreliable
39,"Adair County, OK",2017.0,15,21909,Unreliable
40,"Adams County, CO",2016.0,156,498187,31.3
41,"Adams County, CO",2012.0,132,459598,28.7
42,"Adams County, CO",2013.0,127,469193,27.1
43,"Adams County, CO",2015.0,132,491337,26.9
44,"Adams County, CO",2014.0,123,480718,25.6
45,"Adams County, CO",2017.0,112,503167,22.3
46,"Adams County, IL",2014.0,49,66988,73.1
47,"Adams County, IL",2012.0,45,67197,67
48,"Adams County, IL",2017.0,44,66234,66.4
49,"Adams County, IL",2013.0,44,67130,65.5
50,"Adams County, IL",2015.0,39,67013,58.2
51,"Adams County, IL",2016.0,27,66578,40.6
52,"Adams County, IN",2013.0,11,34614,Unreliable
53,"Adams County, IN",2014.0,19,34791,Unreliable
54,"Adams County, IN",2015.0,17,34980,Unreliable
55,"Adams County, IN",2017.0,17,35491,Unreliable
56,"Adams County, IN",2016.0,20,35232,56.8
57,"Adams County, MS",2012.0,34,32122,105.8
58,"Adams County, MS",2017.0,26,31003,83.9
59,"Adams County, MS",2015.0,26,31254,83.2
60,"Adams County, MS",2014.0,23,31737,72.5
61,"Adams County, MS",2013.0,23,32090,71.7
62,"Adams County, MS",2016.0,21,31248,67.2
63,"Adams County, NE",2014.0,19,31457,Unreliable
64,"Adams County, NE",2016.0,18,31684,Unreliable
65,"Adams County, NE",2017.0,17,31678,Unreliable
66,"Adams County, NE",2012.0,24,31459,76.3
67,"Adams County, NE",2015.0,21,31587,66.5
68,"Adams County, NE",2013.0,20,31610,63.3
69,"Adams County, OH",2017.0,32,27726,115.4
70,"Adams County, OH",2012.0,30,28350,105.8
71,"Adams County, OH",2016.0,29,27907,103.9
72,"Adams County, OH",2015.0,24,28024,85.6
73,"Adams County, OH",2013.0,23,28105,81.8
74,"Adams County, OH",2014.0,23,28129,81.8
75,"Adams County, PA",2012.0,68,101482,67
76,"Adams County, PA",2015.0,67,102295,65.5
77,"Adams County, PA",2014.0,62,101714,61
78,"Adams County, PA",2017.0,59,102336,57.7
79,"Adams County, PA",2016.0,50,102180,48.9
80,"Adams County, PA",2013.0,46,101546,45.3
81,"Adams County, WI",2016.0,18,20069,Unreliable
82,"Adams County, WI",2012.0,31,20679,149.9
83,"Adams County, WI",2014.0,28,20215,138.5
84,"Adams County, WI",2013.0,25,20480,122.1
85,"Adams County, WI",2017.0,24,19973,120.2
86,"Adams County, WI",2015.0,24,20148,119.1
87,"Addison County, VT",2013.0,11,36791,Unreliable
88,"Addison County, VT",2014.0,14,37009,Unreliable
89,"Addison County, VT",2015.0,15,37035,Unreliable
90,"Addison County, VT",2017.0,19,36776,Unreliable
91,"Addison County, VT",2012.0,24,36745,65.3
92,"Addison County, VT",2016.0,20,36959,54.1
93,"Aiken County, SC",2014.0,117,164753,71
94,"Aiken County, SC",2016.0,107,167458,63.9
95,"Aiken County, SC",2015.0,97,165829,58.5
96,"Aiken County, SC",2017.0,95,168179,56.5
97,"Aiken County, SC",2012.0,91,162812,55.9
98,"Aiken County, SC",2013.0,90,164176,54.8
99,"Aitkin County, MN",2012.0,10,15927,Unreliable
100,"Aitkin County, MN",2013.0,15,15742,Unreliable
101,"Aitkin County, MN",2015.0,15,15702,Unreliable
102,"Aitkin County, MN",2016.0,19,15583,Unreliable
103,"Aitkin County, MN",2017.0,17,15829,Unreliable
104,"Aitkin County, MN",2014.0,23,15771,145.8
105,"Alachua County, FL",2012.0,111,251417,44.1
106,"Alachua County, FL",2014.0,112,256380,43.7
107,"Alachua County, FL",2013.0,108,253451,42.6
108,"Alachua County, FL",2015.0,101,259964,38.9
109,"Alachua County, FL",2016.0,101,263496,38.3
110,"Alachua County, FL",2017.0,98,266944,36.7
111,"Alamance County, NC",2012.0,111,153920,72.1
112,"Alamance County, NC",2014.0,106,155792,68
113,"Alamance County, NC",2016.0,96,159688,60.1
114,"Alamance County, NC",2017.0,96,162391,59.1
115,"Alamance County, NC",2015.0,88,158276,55.6
116,"Alamance County, NC",2013.0,80,154378,51.8
117,"Alameda County, CA",2013.0,494,1578891,31.3
118,"Alameda County, CA",2014.0,501,1610921,31.1
119,"Alameda County, CA",2012.0,467,1554720,30
120,"Alameda County, CA",2015.0,473,1638215,28.9
121,"Alameda County, CA",2016.0,466,1647704,28.3
122,"Alameda County, CA",2017.0,446,1663190,26.8
123,"Albany County, NY",2012.0,185,305455,60.6
124,"Albany County, NY",2013.0,176,306945,57.3
125,"Albany County, NY",2015.0,175,309381,56.6
126,"Albany County, NY",2017.0,160,309612,51.7
127,"Albany County, NY",2016.0,159,308846,51.5
128,"Albany County, NY",2014.0,156,308171,50.6
129,"Albany County, WY",2013.0,10,37422,Unreliable
130,"Albemarle County, VA",2016.0,49,106878,45.8
131,"Albemarle County, VA",2014.0,45,104489,43.1
132,"Albemarle County, VA",2017.0,45,107702,41.8
133,"Albemarle County, VA",2013.0,43,103000,41.7
134,"Albemarle County, VA",2012.0,41,102251,40.1
135,"Albemarle County, VA",2015.0,42,105703,39.7
136,"Alcona County, MI",2012.0,17,10635,Unreliable
137,"Alcona County, MI",2013.0,13,10578,Unreliable
138,"Alcona County, MI",2015.0,14,10349,Unreliable
139,"Alcona County, MI",2016.0,12,10352,Unreliable
140,"Alcona County, MI",2017.0,14,10351,Unreliable
141,"Alcorn County, MS",2016.0,36,37304,96.5
142,"Alcorn County, MS",2013.0,30,37316,80.4
143,"Alcorn County, MS",2015.0,28,37388,74.9
144,"Alcorn County, MS",2012.0,25,37164,67.3
145,"Alcorn County, MS",2017.0,21,37210,56.4
146,"Alcorn County, MS",2014.0,21,37380,56.2
147,"Alexander County, IL",2012.0,12,7748,Unreliable
148,"Alexander County, NC",2017.0,28,37286,75.1
149,"Alexander County, NC",2014.0,27,37392,72.2
150,"Alexander County, NC",2015.0,25,37325,67
151,"Alexander County, NC",2012.0,22,36853,59.7
152,"Alexander County, NC",2016.0,21,37428,56.1
153,"Alexander County, NC",2013.0,20,36930,54.2
154,"Alexandria city, VA",2015.0,38,153511,24.8
155,"Alexandria city, VA",2013.0,33,148892,22.2
156,"Alexandria city, VA",2012.0,32,146294,21.9
157,"Alexandria city, VA",2014.0,29,150575,19.3
158,"Alexandria city, VA",2017.0,29,160035,18.1
159,"Alexandria city, VA",2016.0,21,155810,13.5
160,"Alger County, MI",2015.0,10,9383,Unreliable
161,"Allamakee County, IA",2012.0,10,14237,Unreliable
162,"Allamakee County, IA",2015.0,21,13886,151.2
163,"Allegan County, MI",2012.0,71,112039,63.4
164,"Allegan County, MI",2015.0,71,114625,61.9
165,"Allegan County, MI",2017.0,72,116447,61.8
166,"Allegan County, MI",2016.0,66,115548,57.1
167,"Allegan County, MI",2013.0,63,112531,56
168,"Allegan County, MI",2014.0,58,113847,50.9
169,"Allegany County, MD",2016.0,65,72130,90.1
170,"Allegany County, MD",2015.0,52,72528,71.7
171,"Allegany County, MD",2013.0,47,73521,63.9
172,"Allegany County, MD",2012.0,46,74012,62.2
173,"Allegany County, MD",2017.0,43,71615,60
174,"Allegany County, MD",2014.0,43,72952,58.9
175,"Allegany County, NY",2017.0,39,46894,83.2
176,"Allegany County, NY",2014.0,35,47736,73.3
177,"Allegany County, NY",2013.0,35,48109,72.8
178,"Allegany County, NY",2012.0,32,48357,66.2
179,"Allegany County, NY",2016.0,27,47077,57.4
180,"Allegany County, NY",2015.0,27,47462,56.9
181,"Alleghany County, NC",2013.0,12,10939,Unreliable
182,"Alleghany County, VA",2012.0,15,16230,Unreliable
183,"Alleghany County, VA",2014.0,14,15820,Unreliable
184,"Alleghany County, VA",2016.0,12,15595,Unreliable
185,"Alleghany County, VA",2013.0,20,16161,123.8
186,"Allegheny County, PA",2012.0,886,1229338,72.1
187,"Allegheny County, PA",2013.0,794,1231527,64.5
188,"Allegheny County, PA",2014.0,783,1231255,63.6
189,"Allegheny County, PA",2015.0,778,1230459,63.2
190,"Allegheny County, PA",2017.0,736,1223048,60.2
191,"Allegheny County, PA",2016.0,706,1225365,57.6
192,"Allen County, IN",2015.0,192,368450,52.1
193,"Allen County, IN",2016.0,189,370404,51
194,"Allen County, IN",2014.0,175,365918,47.8
195,"Allen County, IN",2017.0,169,372877,45.3
196,"Allen County, IN",2013.0,153,363014,42.1
197,"Allen County, IN",2012.0,149,360412,41.3
198,"Allen County, KS",2013.0,15,13124,Unreliable
199,"Allen County, KS",2014.0,11,12909,Unreliable
200,"Allen County, KS",2017.0,10,12519,Unreliable
201,"Allen County, KY",2012.0,18,20210,Unreliable
202,"Allen County, KY",2013.0,17,20311,Unreliable
203,"Allen County, KY",2015.0,17,20640,Unreliable
204,"Allen County, KY",2016.0,16,20631,Unreliable
205,"Allen County, KY",2017.0,14,20933,Unreliable
206,"Allen County, KY",2014.0,21,20384,103
207,"Allen County, OH",2015.0,89,104425,85.2
208,"Allen County, OH",2016.0,77,103742,74.2
209,"Allen County, OH",2014.0,76,105040,72.4
210,"Allen County, OH",2012.0,72,105141,68.5
211,"Allen County, OH",2013.0,69,105298,65.5
212,"Allen County, OH",2017.0,57,103198,55.2
213,"Allen Parish, LA",2012.0,16,25539,Unreliable
214,"Allen Parish, LA",2014.0,13,25713,Unreliable
215,"Allen Parish, LA",2015.0,13,25683,Unreliable
216,"Allen Parish, LA",2017.0,19,25621,Unreliable
217,"Allen Parish, LA",2013.0,22,25537,86.1
218,"Allen Parish, LA",2016.0,22,25684,85.7
219,"Alpena County, MI",2017.0,31,28462,108.9
220,"Alpena County, MI",2012.0,31,29234,106
221,"Alpena County, MI",2014.0,28,28988,96.6
222,"Alpena County, MI",2015.0,22,28803,76.4
223,"Alpena County, MI",2016.0,21,28704,73.2
224,"Alpena County, MI",2013.0,21,29091,72.2
225,"Amador County, CA",2016.0,41,37383,109.7
226,"Amador County, CA",2012.0,35,37035,94.5
227,"Amador County, CA",2013.0,31,36519,84.9
228,"Amador County, CA",2014.0,27,36742,73.5
229,"Amador County, CA",2017.0,28,38626,72.5
230,"Amador County, CA",2015.0,21,37001,56.8
231,"Amelia County, VA",2012.0,17,12759,Unreliable
232,"Amelia County, VA",2014.0,18,12855,Unreliable
233,"Amelia County, VA",2015.0,12,12903,Unreliable
234,"Amelia County, VA",2017.0,10,13020,Unreliable
235,"Amherst County, VA",2012.0,13,32384,Unreliable
236,"Amherst County, VA",2016.0,17,31633,Unreliable
237,"Amherst County, VA",2015.0,24,31914,75.2
238,"Amherst County, VA",2017.0,22,31594,69.6
239,"Amherst County, VA",2013.0,22,32178,68.4
240,"Amherst County, VA",2014.0,21,32041,65.5
241,"Amite County, MS",2014.0,13,12629,Unreliable
242,"Amite County, MS",2015.0,12,12574,Unreliable
243,"Amite County, MS",2016.0,12,12458,Unreliable
244,"Amite County, MS",2017.0,15,12447,Unreliable
245,"Anchorage Borough, AK",2013.0,103,300950,34.2
246,"Anchorage Borough, AK",2017.0,89,294356,30.2
247,"Anchorage Borough, AK",2012.0,90,298610,30.1
248,"Anchorage Borough, AK",2015.0,87,298695,29.1
249,"Anchorage Borough, AK",2014.0,75,301010,24.9
250,"Anchorage Borough, AK",2016.0,74,298192,24.8
251,"Anderson County, KS",2014.0,10,7883,Unreliable
252,"Anderson County, KY",2012.0,19,21728,Unreliable
253,"Anderson County, KY",2013.0,16,21811,Unreliable
254,"Anderson County, KY",2014.0,16,21888,Unreliable
255,"Anderson County, KY",2015.0,17,21979,Unreliable
256,"Anderson County, KY",2017.0,11,22544,Unreliable
257,"Anderson County, KY",2016.0,23,22158,103.8
258,"Anderson County, SC",2012.0,125,189355,66
259,"Anderson County, SC",2016.0,128,196569,65.1
260,"Anderson County, SC",2014.0,122,192810,63.3
261,"Anderson County, SC",2015.0,123,194692,63.2
262,"Anderson County, SC",2013.0,116,190641,60.8
263,"Anderson County, SC",2017.0,119,198759,59.9
264,"Anderson County, TN",2012.0,83,75416,110.1
265,"Anderson County, TN",2013.0,57,75542,75.5
266,"Anderson County, TN",2015.0,56,75749,73.9
267,"Anderson County, TN",2014.0,51,75528,67.5
268,"Anderson County, TN",2017.0,49,76257,64.3
269,"Anderson County, TN",2016.0,47,75936,61.9
270,"Anderson County, TX",2015.0,46,57580,79.9
271,"Anderson County, TX",2016.0,46,57734,79.7
272,"Anderson County, TX",2013.0,44,57938,75.9
273,"Anderson County, TX",2012.0,38,58190,65.3
274,"Anderson County, TX",2014.0,32,57627,55.5
275,"Anderson County, TX",2017.0,26,57741,45
276,"Andrew County, MO",2012.0,11,17417,Unreliable
277,"Andrew County, MO",2013.0,11,17445,Unreliable
278,"Andrew County, MO",2014.0,12,17379,Unreliable
279,"Andrew County, MO",2015.0,13,17296,Unreliable
280,"Andrew County, MO",2017.0,14,17555,Unreliable
281,"Andrews County, TX",2012.0,10,16117,Unreliable
282,"Andrews County, TX",2016.0,11,17760,Unreliable
283,"Androscoggin County, ME",2015.0,83,107233,77.4
284,"Androscoggin County, ME",2017.0,79,107651,73.4
285,"Androscoggin County, ME",2016.0,76,107319,70.8
286,"Androscoggin County, ME",2013.0,75,107604,69.7
287,"Androscoggin County, ME",2012.0,74,107609,68.8
288,"Androscoggin County, ME",2014.0,69,107440,64.2
289,"Angelina County, TX",2016.0,64,87791,72.9
290,"Angelina County, TX",2014.0,56,87750,63.8
291,"Angelina County, TX",2017.0,51,87805,58.1
292,"Angelina County, TX",2012.0,46,87597,52.5
293,"Angelina County, TX",2015.0,44,88255,49.9
294,"Angelina County, TX",2013.0,41,87441,46.9
295,"Anne Arundel County, MD",2012.0,295,550488,53.6
296,"Anne Arundel County, MD",2014.0,289,560133,51.6
297,"Anne Arundel County, MD",2013.0,267,555743,48
298,"Anne Arundel County, MD",2015.0,266,564195,47.1
299,"Anne Arundel County, MD",2016.0,249,568346,43.8
300,"Anne Arundel County, MD",2017.0,251,573235,43.8
301,"Anoka County, MN",2014.0,172,341864,50.3
302,"Anoka County, MN",2013.0,168,339534,49.5
303,"Anoka County, MN",2017.0,171,351373,48.7
304,"Anoka County, MN",2016.0,165,345957,47.7
305,"Anoka County, MN",2012.0,148,336414,44
306,"Anoka County, MN",2015.0,151,344151,43.9
307,"Anson County, NC",2012.0,18,26351,Unreliable
308,"Anson County, NC",2015.0,17,25759,Unreliable
309,"Anson County, NC",2016.0,14,25448,Unreliable
310,"Anson County, NC",2017.0,12,24991,Unreliable
311,"Anson County, NC",2013.0,24,26161,91.7
312,"Anson County, NC",2014.0,20,25765,77.6
313,"Antrim County, MI",2012.0,16,23406,Unreliable
314,"Antrim County, MI",2013.0,19,23370,Unreliable
315,"Antrim County, MI",2014.0,13,23267,Unreliable
316,"Antrim County, MI",2016.0,19,23144,Unreliable
317,"Antrim County, MI",2015.0,21,23154,90.7
318,"Apache County, AZ",2013.0,16,71934,Unreliable
319,"Apache County, AZ",2014.0,13,71828,Unreliable
320,"Apache County, AZ",2015.0,14,71474,Unreliable
321,"Apache County, AZ",2016.0,14,73112,Unreliable
322,"Appanoose County, IA",2012.0,11,12700,Unreliable
323,"Appanoose County, IA",2013.0,10,12692,Unreliable
324,"Appanoose County, IA",2015.0,14,12529,Unreliable
325,"Appanoose County, IA",2016.0,13,12462,Unreliable
326,"Appling County, GA",2012.0,15,18368,Unreliable
327,"Appling County, GA",2013.0,11,18440,Unreliable
328,"Appling County, GA",2014.0,12,18540,Unreliable
329,"Appling County, GA",2015.0,12,18454,Unreliable
330,"Appling County, GA",2016.0,12,18428,Unreliable
331,"Appling County, GA",2017.0,11,18521,Unreliable
332,"Appomattox County, VA",2013.0,12,15255,Unreliable
333,"Appomattox County, VA",2014.0,15,15279,Unreliable
334,"Appomattox County, VA",2016.0,13,15475,Unreliable
335,"Aransas County, TX",2016.0,18,25721,Unreliable
336,"Aransas County, TX",2012.0,29,23818,121.8
337,"Aransas County, TX",2014.0,29,24972,116.1
338,"Aransas County, TX",2013.0,24,24356,98.5
339,"Aransas County, TX",2015.0,23,25350,90.7
340,"Aransas County, TX",2017.0,20,25572,78.2
341,"Arapahoe County, CO",2012.0,173,595546,29
342,"Arapahoe County, CO",2015.0,167,631096,26.5
343,"Arapahoe County, CO",2016.0,166,637068,26.1
344,"Arapahoe County, CO",2013.0,154,607070,25.4
345,"Arapahoe County, CO",2017.0,163,643052,25.3
346,"Arapahoe County, CO",2014.0,147,618821,23.8
347,"Archer County, TX",2014.0,10,8811,Unreliable
348,"Arenac County, MI",2012.0,17,15477,Unreliable
349,"Arenac County, MI",2013.0,19,15487,Unreliable
350,"Arenac County, MI",2014.0,13,15353,Unreliable
351,"Arenac County, MI",2016.0,19,15122,Unreliable
352,"Arenac County, MI",2017.0,14,15045,Unreliable
353,"Arenac County, MI",2015.0,21,15261,137.6
354,"Arkansas County, AR",2012.0,17,18892,Unreliable
355,"Arkansas County, AR",2013.0,13,18777,Unreliable
356,"Arkansas County, AR",2014.0,12,18594,Unreliable
357,"Arkansas County, AR",2016.0,12,18214,Unreliable
358,"Arkansas County, AR",2017.0,14,17967,Unreliable
359,"Arkansas County, AR",2015.0,23,18433,124.8
360,"Arlington County, VA",2013.0,51,224906,22.7
361,"Arlington County, VA",2015.0,49,229164,21.4
362,"Arlington County, VA",2012.0,40,221045,18.1
363,"Arlington County, VA",2014.0,40,226908,17.6
364,"Arlington County, VA",2017.0,31,234965,13.2
365,"Arlington County, VA",2016.0,30,230050,13
366,"Armstrong County, PA",2012.0,53,68409,77.5
367,"Armstrong County, PA",2014.0,46,67785,67.9
368,"Armstrong County, PA",2016.0,41,66486,61.7
369,"Armstrong County, PA",2017.0,40,65642,60.9
370,"Armstrong County, PA",2013.0,39,68107,57.3
371,"Armstrong County, PA",2015.0,29,67052,43.3
372,"Aroostook County, ME",2013.0,75,70055,107.1
373,"Aroostook County, ME",2016.0,63,67959,92.7
374,"Aroostook County, ME",2012.0,63,70868,88.9
375,"Aroostook County, ME",2014.0,56,69447,80.6
376,"Aroostook County, ME",2015.0,54,68628,78.7
377,"Aroostook County, ME",2017.0,45,67653,66.5
378,"Ascension Parish, LA",2012.0,60,112286,53.4
379,"Ascension Parish, LA",2014.0,54,117029,46.1
380,"Ascension Parish, LA",2016.0,53,121587,43.6
381,"Ascension Parish, LA",2013.0,49,114393,42.8
382,"Ascension Parish, LA",2015.0,44,119455,36.8
383,"Ascension Parish, LA",2017.0,45,122948,36.6
384,"Ashe County, NC",2013.0,15,27151,Unreliable
385,"Ashe County, NC",2015.0,18,27020,Unreliable
386,"Ashe County, NC",2014.0,29,27126,106.9
387,"Ashe County, NC",2016.0,25,26924,92.9
388,"Ashe County, NC",2017.0,21,26957,77.9
389,"Ashe County, NC",2012.0,20,27097,73.8
390,"Ashland County, OH",2013.0,38,53043,71.6
391,"Ashland County, OH",2016.0,35,53652,65.2
392,"Ashland County, OH",2014.0,34,53035,64.1
393,"Ashland County, OH",2017.0,34,53628,63.4
394,"Ashland County, OH",2012.0,31,52962,58.5
395,"Ashland County, OH",2015.0,28,53213,52.6
396,"Ashland County, WI",2012.0,10,15992,Unreliable
397,"Ashland County, WI",2013.0,14,16016,Unreliable
398,"Ashland County, WI",2015.0,15,15843,Unreliable
399,"Ashland County, WI",2016.0,15,15714,Unreliable
400,"Ashland County, WI",2017.0,12,15500,Unreliable
401,"Ashley County, AR",2012.0,19,21524,Unreliable
402,"Ashley County, AR",2013.0,14,21283,Unreliable
403,"Ashley County, AR",2014.0,17,20948,Unreliable
404,"Ashley County, AR",2015.0,18,20838,Unreliable
405,"Ashley County, AR",2016.0,24,20492,117.1
406,"Ashley County, AR",2017.0,22,20283,108.5
407,"Ashtabula County, OH",2017.0,88,97807,90
408,"Ashtabula County, OH",2016.0,86,98231,87.5
409,"Ashtabula County, OH",2013.0,86,99811,86.2
410,"Ashtabula County, OH",2014.0,80,99175,80.7
411,"Ashtabula County, OH",2012.0,74,100389,73.7
412,"Ashtabula County, OH",2015.0,62,98632,62.9
413,"Asotin County, WA",2012.0,18,21888,Unreliable
414,"Asotin County, WA",2013.0,13,22110,Unreliable
415,"Asotin County, WA",2014.0,12,22189,Unreliable
416,"Asotin County, WA",2015.0,14,22105,Unreliable
417,"Asotin County, WA",2016.0,14,22306,Unreliable
418,"Asotin County, WA",2017.0,24,22535,106.5
419,"Assumption Parish, LA",2013.0,16,23187,Unreliable
420,"Assumption Parish, LA",2015.0,14,22842,Unreliable
421,"Assumption Parish, LA",2016.0,15,22695,Unreliable
422,"Assumption Parish, LA",2017.0,12,22526,Unreliable
423,"Assumption Parish, LA",2014.0,21,23034,91.2
424,"Assumption Parish, LA",2012.0,20,23026,86.9
425,"Atascosa County, TX",2012.0,19,46446,Unreliable
426,"Atascosa County, TX",2013.0,18,47093,Unreliable
427,"Atascosa County, TX",2014.0,19,47774,Unreliable
428,"Atascosa County, TX",2015.0,14,48435,Unreliable
429,"Atascosa County, TX",2016.0,18,48797,Unreliable
430,"Atascosa County, TX",2017.0,11,48981,Unreliable
431,"Atchison County, KS",2014.0,12,16513,Unreliable
432,"Atchison County, KS",2015.0,12,16398,Unreliable
433,"Athens County, OH",2017.0,38,66597,57.1
434,"Athens County, OH",2015.0,36,65886,54.6
435,"Athens County, OH",2016.0,34,66186,51.4
436,"Athens County, OH",2013.0,33,64681,51
437,"Athens County, OH",2012.0,31,64304,48.2
438,"Athens County, OH",2014.0,26,64713,40.2
439,"Atlantic County, NJ",2014.0,162,275209,58.9
440,"Atlantic County, NJ",2016.0,153,270991,56.5
441,"Atlantic County, NJ",2012.0,150,275422,54.5
442,"Atlantic County, NJ",2013.0,144,275862,52.2
443,"Atlantic County, NJ",2015.0,139,274219,50.7
444,"Atlantic County, NJ",2017.0,126,269918,46.7
445,"Atoka County, OK",2012.0,13,14007,Unreliable
446,"Atoka County, OK",2013.0,10,13898,Unreliable
447,"Atoka County, OK",2014.0,13,13796,Unreliable
448,"Atoka County, OK",2015.0,18,13793,Unreliable
449,"Atoka County, OK",2017.0,11,13887,Unreliable
450,"Attala County, MS",2012.0,14,19157,Unreliable
451,"Attala County, MS",2013.0,14,19317,Unreliable
452,"Attala County, MS",2014.0,16,19163,Unreliable
453,"Attala County, MS",2015.0,18,19043,Unreliable
454,"Attala County, MS",2016.0,14,18934,Unreliable
455,"Audrain County, MO",2014.0,18,25887,Unreliable
456,"Audrain County, MO",2017.0,29,25641,113.1
457,"Audrain County, MO",2015.0,27,26096,103.5
458,"Audrain County, MO",2013.0,23,25661,89.6
459,"Audrain County, MO",2012.0,22,25621,85.9
460,"Audrain County, MO",2016.0,22,26021,84.5
461,"Auglaize County, OH",2017.0,16,45778,Unreliable
462,"Auglaize County, OH",2013.0,38,45920,82.8
463,"Auglaize County, OH",2012.0,30,45831,65.5
464,"Auglaize County, OH",2014.0,30,45841,65.4
465,"Auglaize County, OH",2015.0,23,45876,50.1
466,"Auglaize County, OH",2016.0,21,45894,45.8
467,"Augusta County, VA",2014.0,53,73862,71.8
468,"Augusta County, VA",2013.0,48,73912,64.9
469,"Augusta County, VA",2012.0,42,73658,57
470,"Augusta County, VA",2015.0,40,74314,53.8
471,"Augusta County, VA",2017.0,37,75144,49.2
472,"Augusta County, VA",2016.0,35,74997,46.7
473,"Austin County, TX",2012.0,17,28618,Unreliable
474,"Austin County, TX",2013.0,17,28847,Unreliable
475,"Austin County, TX",2014.0,11,29114,Unreliable
476,"Austin County, TX",2015.0,16,29563,Unreliable
477,"Austin County, TX",2016.0,15,29758,Unreliable
478,"Austin County, TX",2017.0,13,29786,Unreliable
479,"Autauga County, AL",2012.0,44,55514,79.3
480,"Autauga County, AL",2015.0,43,55347,77.7
481,"Autauga County, AL",2013.0,41,55246,74.2
482,"Autauga County, AL",2014.0,35,55395,63.2
483,"Autauga County, AL",2016.0,31,55416,55.9
484,"Autauga County, AL",2017.0,23,55504,41.4
485,"Avery County, NC",2012.0,15,17635,Unreliable
486,"Avery County, NC",2013.0,10,17713,Unreliable
487,"Avery County, NC",2014.0,10,17773,Unreliable
488,"Avery County, NC",2017.0,10,17536,Unreliable
489,"Avoyelles Parish, LA",2017.0,47,40980,114.7
490,"Avoyelles Parish, LA",2013.0,33,41299,79.9
491,"Avoyelles Parish, LA",2014.0,27,41145,65.6
492,"Avoyelles Parish, LA",2015.0,26,41103,63.3
493,"Avoyelles Parish, LA",2012.0,26,41632,62.5
494,"Avoyelles Parish, LA",2016.0,22,41117,53.5
495,"Bacon County, GA",2012.0,12,11198,Unreliable
496,"Bacon County, GA",2013.0,14,11216,Unreliable
497,"Bacon County, GA",2014.0,10,11281,Unreliable
498,"Baker County, FL",2014.0,11,27093,Unreliable
499,"Baker County, FL",2015.0,15,27420,Unreliable
500,"Baker County, FL",2017.0,16,28283,Unreliable
501,"Baker County, FL",2012.0,26,27086,96
502,"Baker County, FL",2016.0,21,27937,75.2
503,"Baker County, FL",2013.0,20,27013,74
504,"Baker County, OR",2012.0,17,15909,Unreliable
505,"Baker County, OR",2013.0,13,16018,Unreliable
506,"Baker County, OR",2016.0,14,16059,Unreliable
507,"Baker County, OR",2017.0,14,16054,Unreliable
508,"Baker County, OR",2014.0,24,16059,149.4
509,"Baldwin County, AL",2015.0,155,203709,76.1
510,"Baldwin County, AL",2014.0,146,200111,73
511,"Baldwin County, AL",2013.0,141,195540,72.1
512,"Baldwin County, AL",2017.0,132,212628,62.1
513,"Baldwin County, AL",2016.0,128,208563,61.4
514,"Baldwin County, AL",2012.0,112,190790,58.7
515,"Baldwin County, GA",2016.0,19,45144,Unreliable
516,"Baldwin County, GA",2015.0,32,45459,70.4
517,"Baldwin County, GA",2014.0,31,45909,67.5
518,"Baldwin County, GA",2017.0,27,44906,60.1
519,"Baldwin County, GA",2012.0,26,46367,56.1
520,"Baldwin County, GA",2013.0,24,46039,52.1
521,"Ballard County, KY",2012.0,12,8333,Unreliable
