County,Year,Deaths,Population,Crude Rate
"Abbeville County, SC",2014,24,24965,96.1
"Abbeville County, SC",2013,23,25007,92.0
"Abbeville County, SC",2016,22,24872,88.5
"Acadia Parish, LA",2015,52,62577,83.1
"Acadia Parish, LA",2013,51,62204,82.0
"Acadia Parish, LA",2017,47,62590,75.1
"Acadia Parish, LA",2012,37,61912,59.8
"Acadia Parish, LA",2016,36,62645,57.5
"Acadia Parish, LA",2014,32,62486,51.2
"Accomack County, VA",2013,38,33148,114.6
"Accomack County, VA",2014,36,33021,109.0
"Accomack County, VA",2016,35,32947,106.2
"Accomack County, VA",2012,34,33341,102.0
"Accomack County, VA",2017,30,32545,92.2
"Accomack County, VA",2015,24,32973,72.8
"Ada County, ID",2013,155,416464,37.2
"Ada County, ID",2014,148,426236,34.7
"Ada County, ID",2016,148,444028,33.3
"Ada County, ID",2015,143,434211,32.9
"Ada County, ID",2012,130,409061,31.8
"Ada County, ID",2017,121,456849,26.5
"Adair County, MO",2017,22,25377,86.7
"Adams County, CO",2016,156,498187,31.3
"Adams County, CO",2012,132,459598,28.7
"Adams County, CO",2013,127,469193,27.1
"Adams County, CO",2015,132,491337,26.9
"Adams County, CO",2014,123,480718,25.6
"Adams County, CO",2017,112,503167,22.3
"Adams County, IL",2014,49,66988,73.1
"Adams County, IL",2012,45,67197,67.0
"Adams County, IL",2017,44,66234,66.4
"Adams County, IL",2013,44,67130,65.5
"Adams County, IL",2015,39,67013,58.2
"Adams County, IL",2016,27,66578,40.6
"Adams County, IN",2016,20,35232,56.8
"Adams County, MS",2012,34,32122,105.8
"Adams County, MS",2017,26,31003,83.9
"Adams County, MS",2015,26,31254,83.2
"Adams County, MS",2014,23,31737,72.5
"Adams County, MS",2013,23,32090,71.7
"Adams County, MS",2016,21,31248,67.2
"Adams County, NE",2012,24,31459,76.3
"Adams County, NE",2015,21,31587,66.5
"Adams County, NE",2013,20,31610,63.3
"Adams County, OH",2017,32,27726,115.4
"Adams County, OH",2012,30,28350,105.8
"Adams County, OH",2016,29,27907,103.9
"Adams County, OH",2015,24,28024,85.6
"Adams County, OH",2013,23,28105,81.8
"Adams County, OH",2014,23,28129,81.8
"Adams County, PA",2012,68,101482,67.0
"Adams County, PA",2015,67,102295,65.5
"Adams County, PA",2014,62,101714,61.0
"Adams County, PA",2017,59,102336,57.7
"Adams County, PA",2016,50,102180,48.9
"Adams County, PA",2013,46,101546,45.3
"Adams County, WI",2012,31,20679,149.9
"Adams County, WI",2014,28,20215,138.5
"Adams County, WI",2013,25,20480,122.1
"Adams County, WI",2017,24,19973,120.2
"Adams County, WI",2015,24,20148,119.1
"Addison County, VT",2012,24,36745,65.3
"Addison County, VT",2016,20,36959,54.1
"Aiken County, SC",2014,117,164753,71.0
"Aiken County, SC",2016,107,167458,63.9
"Aiken County, SC",2015,97,165829,58.5
"Aiken County, SC",2017,95,168179,56.5
"Aiken County, SC",2012,91,162812,55.9
"Aiken County, SC",2013,90,164176,54.8
"Aitkin County, MN",2014,23,15771,145.8
"Alachua County, FL",2012,111,251417,44.1
"Alachua County, FL",2014,112,256380,43.7
"Alachua County, FL",2013,108,253451,42.6
"Alachua County, FL",2015,101,259964,38.9
"Alachua County, FL",2016,101,263496,38.3
"Alachua County, FL",2017,98,266944,36.7
"Alamance County, NC",2012,111,153920,72.1
"Alamance County, NC",2014,106,155792,68.0
"Alamance County, NC",2016,96,159688,60.1
"Alamance County, NC",2017,96,162391,59.1
"Alamance County, NC",2015,88,158276,55.6
"Alamance County, NC",2013,80,154378,51.8
"Alameda County, CA",2013,494,1578891,31.3
"Alameda County, CA",2014,501,1610921,31.1
"Alameda County, CA",2012,467,1554720,30.0
"Alameda County, CA",2015,473,1638215,28.9
"Alameda County, CA",2016,466,1647704,28.3
"Alameda County, CA",2017,446,1663190,26.8
"Albany County, NY",2012,185,305455,60.6
"Albany County, NY",2013,176,306945,57.3
"Albany County, NY",2015,175,309381,56.6
"Albany County, NY",2017,160,309612,51.7
"Albany County, NY",2016,159,308846,51.5
"Albany County, NY",2014,156,308171,50.6
"Albemarle County, VA",2016,49,106878,45.8
"Albemarle County, VA",2014,45,104489,43.1
"Albemarle County, VA",2017,45,107702,41.8
"Albemarle County, VA",2013,43,103000,41.7
"Albemarle County, VA",2012,41,102251,40.1
"Albemarle County, VA",2015,42,105703,39.7
"Alcorn County, MS",2016,36,37304,96.5
"Alcorn County, MS",2013,30,37316,80.4
"Alcorn County, MS",2015,28,37388,74.9
"Alcorn County, MS",2012,25,37164,67.3
"Alcorn County, MS",2017,21,37210,56.4
"Alcorn County, MS",2014,21,37380,56.2
"Alexander County, NC",2017,28,37286,75.1
"Alexander County, NC",2014,27,37392,72.2
"Alexander County, NC",2015,25,37325,67.0
"Alexander County, NC",2012,22,36853,59.7
"Alexander County, NC",2016,21,37428,56.1
"Alexander County, NC",2013,20,36930,54.2
"Alexandria city, VA",2015,38,153511,24.8
"Alexandria city, VA",2013,33,148892,22.2
"Alexandria city, VA",2012,32,146294,21.9
"Alexandria city, VA",2014,29,150575,19.3
"Alexandria city, VA",2017,29,160035,18.1
"Alexandria city, VA",2016,21,155810,13.5
"Allamakee County, IA",2015,21,13886,151.2
"Allegan County, MI",2012,71,112039,63.4
"Allegan County, MI",2015,71,114625,61.9
"Allegan County, MI",2017,72,116447,61.8
"Allegan County, MI",2016,66,115548,57.1
"Allegan County, MI",2013,63,112531,56.0
"Allegan County, MI",2014,58,113847,50.9
"Allegany County, MD",2016,65,72130,90.1
"Allegany County, MD",2015,52,72528,71.7
"Allegany County, MD",2013,47,73521,63.9
"Allegany County, MD",2012,46,74012,62.2
"Allegany County, MD",2017,43,71615,60.0
"Allegany County, MD",2014,43,72952,58.9
"Allegany County, NY",2017,39,46894,83.2
"Allegany County, NY",2014,35,47736,73.3
"Allegany County, NY",2013,35,48109,72.8
"Allegany County, NY",2012,32,48357,66.2
"Allegany County, NY",2016,27,47077,57.4
"Allegany County, NY",2015,27,47462,56.9
"Alleghany County, VA",2013,20,16161,123.8
"Allegheny County, PA",2012,886,1229338,72.1
"Allegheny County, PA",2013,794,1231527,64.5
"Allegheny County, PA",2014,783,1231255,63.6
"Allegheny County, PA",2015,778,1230459,63.2
"Allegheny County, PA",2017,736,1223048,60.2
"Allegheny County, PA",2016,706,1225365,57.6
"Allen County, IN",2015,192,368450,52.1
"Allen County, IN",2016,189,370404,51.0
"Allen County, IN",2014,175,365918,47.8
"Allen County, IN",2017,169,372877,45.3
"Allen County, IN",2013,153,363014,42.1
"Allen County, IN",2012,149,360412,41.3
"Allen County, KY",2014,21,20384,103.0
"Allen County, OH",2015,89,104425,85.2
"Allen County, OH",2016,77,103742,74.2
"Allen County, OH",2014,76,105040,72.4
"Allen County, OH",2012,72,105141,68.5
"Allen County, OH",2013,69,105298,65.5
"Allen County, OH",2017,57,103198,55.2
"Allen Parish, LA",2013,22,25537,86.1
"Allen Parish, LA",2016,22,25684,85.7
"Alpena County, MI",2017,31,28462,108.9
"Alpena County, MI",2012,31,29234,106.0
"Alpena County, MI",2014,28,28988,96.6
"Alpena County, MI",2015,22,28803,76.4
"Alpena County, MI",2016,21,28704,73.2
"Alpena County, MI",2013,21,29091,72.2
"Amador County, CA",2016,41,37383,109.7
"Amador County, CA",2012,35,37035,94.5
"Amador County, CA",2013,31,36519,84.9
"Amador County, CA",2014,27,36742,73.5
"Amador County, CA",2017,28,38626,72.5
"Amador County, CA",2015,21,37001,56.8
"Amherst County, VA",2015,24,31914,75.2
"Amherst County, VA",2017,22,31594,69.6
"Amherst County, VA",2013,22,32178,68.4
"Amherst County, VA",2014,21,32041,65.5
"Anchorage Borough, AK",2013,103,300950,34.2
"Anchorage Borough, AK",2017,89,294356,30.2
"Anchorage Borough, AK",2012,90,298610,30.1
"Anchorage Borough, AK",2015,87,298695,29.1
"Anchorage Borough, AK",2014,75,301010,24.9
"Anchorage Borough, AK",2016,74,298192,24.8
"Anderson County, KY",2016,23,22158,103.8
"Anderson County, SC",2012,125,189355,66.0
"Anderson County, SC",2016,128,196569,65.1
"Anderson County, SC",2014,122,192810,63.3
"Anderson County, SC",2015,123,194692,63.2
"Anderson County, SC",2013,116,190641,60.8
"Anderson County, SC",2017,119,198759,59.9
"Anderson County, TN",2012,83,75416,110.1
"Anderson County, TN",2013,57,75542,75.5
"Anderson County, TN",2015,56,75749,73.9
"Anderson County, TN",2014,51,75528,67.5
"Anderson County, TN",2017,49,76257,64.3
"Anderson County, TN",2016,47,75936,61.9
"Anderson County, TX",2015,46,57580,79.9
"Anderson County, TX",2016,46,57734,79.7
"Anderson County, TX",2013,44,57938,75.9
"Anderson County, TX",2012,38,58190,65.3
"Anderson County, TX",2014,32,57627,55.5
"Anderson County, TX",2017,26,57741,45.0
"Androscoggin County, ME",2015,83,107233,77.4
"Androscoggin County, ME",2017,79,107651,73.4
"Androscoggin County, ME",2016,76,107319,70.8
"Androscoggin County, ME",2013,75,107604,69.7
"Androscoggin County, ME",2012,74,107609,68.8
"Androscoggin County, ME",2014,69,107440,64.2
"Angelina County, TX",2016,64,87791,72.9
"Angelina County, TX",2014,56,87750,63.8
"Angelina County, TX",2017,51,87805,58.1
"Angelina County, TX",2012,46,87597,52.5
"Angelina County, TX",2015,44,88255,49.9
"Angelina County, TX",2013,41,87441,46.9
"Anne Arundel County, MD",2012,295,550488,53.6
"Anne Arundel County, MD",2014,289,560133,51.6
"Anne Arundel County, MD",2013,267,555743,48.0
"Anne Arundel County, MD",2015,266,564195,47.1
"Anne Arundel County, MD",2016,249,568346,43.8
"Anne Arundel County, MD",2017,251,573235,43.8
"Anoka County, MN",2014,172,341864,50.3
"Anoka County, MN",2013,168,339534,49.5
"Anoka County, MN",2017,171,351373,48.7
"Anoka County, MN",2016,165,345957,47.7
"Anoka County, MN",2012,148,336414,44.0
"Anoka County, MN",2015,151,344151,43.9
"Anson County, NC",2013,24,26161,91.7
"Anson County, NC",2014,20,25765,77.6
"Antrim County, MI",2015,21,23154,90.7
"Aransas County, TX",2012,29,23818,121.8
"Aransas County, TX",2014,29,24972,116.1
"Aransas County, TX",2013,24,24356,98.5
"Aransas County, TX",2015,23,25350,90.7
"Aransas County, TX",2017,20,25572,78.2
"Arapahoe County, CO",2012,173,595546,29.0
"Arapahoe County, CO",2015,167,631096,26.5
"Arapahoe County, CO",2016,166,637068,26.1
"Arapahoe County, CO",2013,154,607070,25.4
"Arapahoe County, CO",2017,163,643052,25.3
"Arapahoe County, CO",2014,147,618821,23.8
"Arenac County, MI",2015,21,15261,137.6
"Arkansas County, AR",2015,23,18433,124.8
"Arlington County, VA",2013,51,224906,22.7
"Arlington County, VA",2015,49,229164,21.4
"Arlington County, VA",2012,40,221045,18.1
"Arlington County, VA",2014,40,226908,17.6
"Arlington County, VA",2017,31,234965,13.2
"Arlington County, VA",2016,30,230050,13.0
"Armstrong County, PA",2012,53,68409,77.5
"Armstrong County, PA",2014,46,67785,67.9
"Armstrong County, PA",2016,41,66486,61.7
"Armstrong County, PA",2017,40,65642,60.9
"Armstrong County, PA",2013,39,68107,57.3
"Armstrong County, PA",2015,29,67052,43.3
"Aroostook County, ME",2013,75,70055,107.1
"Aroostook County, ME",2016,63,67959,92.7
"Aroostook County, ME",2012,63,70868,88.9
"Aroostook County, ME",2014,56,69447,80.6
"Aroostook County, ME",2015,54,68628,78.7
"Aroostook County, ME",2017,45,67653,66.5
"Ascension Parish, LA",2012,60,112286,53.4
"Ascension Parish, LA",2014,54,117029,46.1
"Ascension Parish, LA",2016,53,121587,43.6
"Ascension Parish, LA",2013,49,114393,42.8
"Ascension Parish, LA",2015,44,119455,36.8
"Ascension Parish, LA",2017,45,122948,36.6
"Ashe County, NC",2014,29,27126,106.9
"Ashe County, NC",2016,25,26924,92.9
"Ashe County, NC",2017,21,26957,77.9
"Ashe County, NC",2012,20,27097,73.8
"Ashland County, OH",2013,38,53043,71.6
"Ashland County, OH",2016,35,53652,65.2
"Ashland County, OH",2014,34,53035,64.1
"Ashland County, OH",2017,34,53628,63.4
"Ashland County, OH",2012,31,52962,58.5
"Ashland County, OH",2015,28,53213,52.6
"Ashley County, AR",2016,24,20492,117.1
"Ashley County, AR",2017,22,20283,108.5
"Ashtabula County, OH",2017,88,97807,90.0
"Ashtabula County, OH",2016,86,98231,87.5
"Ashtabula County, OH",2013,86,99811,86.2
"Ashtabula County, OH",2014,80,99175,80.7
"Ashtabula County, OH",2012,74,100389,73.7
"Ashtabula County, OH",2015,62,98632,62.9
"Asotin County, WA",2017,24,22535,106.5
"Assumption Parish, LA",2014,21,23034,91.2
"Assumption Parish, LA",2012,20,23026,86.9
"Athens County, OH",2017,38,66597,57.1
"Athens County, OH",2015,36,65886,54.6
"Athens County, OH",2016,34,66186,51.4
"Athens County, OH",2013,33,64681,51.0
"Athens County, OH",2012,31,64304,48.2
"Athens County, OH",2014,26,64713,40.2
"Atlantic County, NJ",2014,162,275209,58.9
"Atlantic County, NJ",2016,153,270991,56.5
"Atlantic County, NJ",2012,150,275422,54.5
"Atlantic County, NJ",2013,144,275862,52.2
"Atlantic County, NJ",2015,139,274219,50.7
"Atlantic County, NJ",2017,126,269918,46.7
"Audrain County, MO",2017,29,25641,113.1
"Audrain County, MO",2015,27,26096,103.5
"Audrain County, MO",2013,23,25661,89.6
"Audrain County, MO",2012,22,25621,85.9
"Audrain County, MO",2016,22,26021,84.5
"Auglaize County, OH",2013,38,45920,82.8
"Auglaize County, OH",2012,30,45831,65.5
"Auglaize County, OH",2014,30,45841,65.4
"Auglaize County, OH",2015,23,45876,50.1
"Auglaize County, OH",2016,21,45894,45.8
"Augusta County, VA",2014,53,73862,71.8
"Augusta County, VA",2013,48,73912,64.9
"Augusta County, VA",2012,42,73658,57.0
"Augusta County, VA",2015,40,74314,53.8
"Augusta County, VA",2017,37,75144,49.2
"Augusta County, VA",2016,35,74997,46.7
"Autauga County, AL",2012,44,55514,79.3
"Autauga County, AL",2015,43,55347,77.7
"Autauga County, AL",2013,41,55246,74.2
"Autauga County, AL",2014,35,55395,63.2
"Autauga County, AL",2016,31,55416,55.9
"Autauga County, AL",2017,23,55504,41.4
"Avoyelles Parish, LA",2017,47,40980,114.7
"Avoyelles Parish, LA",2013,33,41299,79.9
"Avoyelles Parish, LA",2014,27,41145,65.6
"Avoyelles Parish, LA",2015,26,41103,63.3
"Avoyelles Parish, LA",2012,26,41632,62.5
"Avoyelles Parish, LA",2016,22,41117,53.5
"Baker County, FL",2012,26,27086,96.0
"Baker County, FL",2016,21,27937,75.2
"Baker County, FL",2013,20,27013,74.0
"Baker County, OR",2014,24,16059,149.4
"Baldwin County, AL",2015,155,203709,76.1
"Baldwin County, AL",2014,146,200111,73.0
"Baldwin County, AL",2013,141,195540,72.1
"Baldwin County, AL",2017,132,212628,62.1
"Baldwin County, AL",2016,128,208563,61.4
"Baldwin County, AL",2012,112,190790,58.7
"Baldwin County, GA",2015,32,45459,70.4
"Baldwin County, GA",2014,31,45909,67.5
"Baldwin County, GA",2017,27,44906,60.1
"Baldwin County, GA",2012,26,46367,56.1
"Baldwin County, GA",2013,24,46039,52.1
"Baltimore city, MD",2014,428,622793,68.7
"Baltimore city, MD",2013,392,622104,63.0
"Baltimore city, MD",2015,379,621849,60.9
"Baltimore city, MD",2016,368,614664,59.9
"Baltimore city, MD",2012,365,621342,58.7
"Baltimore city, MD",2017,316,611648,51.7
"Baltimore County, MD",2012,477,817455,58.4
"Baltimore County, MD",2017,465,832468,55.9
"Baltimore County, MD",2016,460,831026,55.4
"Baltimore County, MD",2015,457,831128,55.0
"Baltimore County, MD",2014,436,826925,52.7
"Baltimore County, MD",2013,392,823015,47.6
"Bannock County, ID",2014,29,83347,34.8
"Bannock County, ID",2012,28,83800,33.4
"Bannock County, ID",2013,25,83249,30.0
"Bannock County, ID",2016,25,84377,29.6
"Bannock County, ID",2017,24,85269,28.1
"Bannock County, ID",2015,21,83744,25.1
"Barbour County, AL",2017,24,25270,95.0
"Barbour County, AL",2015,20,26489,75.5
"Barnstable County, MA",2013,173,214990,80.5
"Barnstable County, MA",2012,164,215423,76.1
"Barnstable County, MA",2016,159,214276,74.2
"Barnstable County, MA",2014,154,214914,71.7
"Barnstable County, MA",2015,152,214333,70.9
"Barnstable County, MA",2017,146,213444,68.4
"Barnwell County, SC",2016,23,21483,107.1
"Barren County, KY",2014,53,43148,122.8
"Barren County, KY",2013,50,43027,116.2
"Barren County, KY",2016,45,43993,102.3
"Barren County, KY",2017,41,43801,93.6
"Barren County, KY",2012,35,42631,82.1
"Barren County, KY",2015,31,43570,71.1
"Barron County, WI",2012,36,45733,78.7
"Barron County, WI",2014,33,45455,72.6
"Barron County, WI",2015,31,45563,68.0
"Barron County, WI",2017,28,45251,61.9
"Barron County, WI",2016,27,45412,59.5
"Barron County, WI",2013,24,45676,52.5
"Barrow County, GA",2013,46,71453,64.4
"Barrow County, GA",2015,48,75370,63.7
"Barrow County, GA",2017,44,79061,55.7
"Barrow County, GA",2014,38,73240,51.9
"Barrow County, GA",2016,37,77126,48.0
"Barrow County, GA",2012,28,70169,39.9
"Barry County, MI",2015,42,59314,70.8
"Barry County, MI",2017,42,60586,69.3
"Barry County, MI",2016,36,59702,60.3
"Barry County, MI",2013,33,59097,55.8
"Barry County, MI",2012,27,58990,45.8
"Barry County, MI",2014,26,59281,43.9
"Barry County, MO",2012,34,35546,95.7
"Barry County, MO",2013,31,35572,87.1
"Barry County, MO",2017,29,35668,81.3
"Barry County, MO",2014,26,35662,72.9
"Barry County, MO",2015,25,35829,69.8
"Barry County, MO",2016,24,35732,67.2
"Bartholomew County, IN",2012,54,79129,68.2
"Bartholomew County, IN",2014,52,80217,64.8
"Bartholomew County, IN",2013,50,79587,62.8
"Bartholomew County, IN",2015,49,81162,60.4
"Bartholomew County, IN",2016,41,81402,50.4
"Bartholomew County, IN",2017,35,82040,42.7
"Barton County, KS",2015,27,27103,99.6
"Barton County, KS",2014,22,27385,80.3
"Barton County, KS",2012,21,27557,76.2
"Bartow County, GA",2014,75,101736,73.7
"Bartow County, GA",2012,56,100661,55.6
"Bartow County, GA",2013,54,101273,53.3
"Bartow County, GA",2017,47,105054,44.7
"Bartow County, GA",2016,45,103807,43.3
"Bartow County, GA",2015,44,102747,42.8
"Bastrop County, TX",2013,47,75825,62.0
"Bastrop County, TX",2017,52,84761,61.3
"Bastrop County, TX",2012,45,74763,60.2
"Bastrop County, TX",2016,47,82733,56.8
"Bastrop County, TX",2014,36,78069,46.1
"Bastrop County, TX",2015,34,80527,42.2
"Baxter County, AR",2015,55,41053,134.0
"Baxter County, AR",2017,55,41355,133.0
"Baxter County, AR",2012,51,41048,124.2
"Baxter County, AR",2016,48,41062,116.9
"Baxter County, AR",2013,43,40957,105.0
"Baxter County, AR",2014,40,40857,97.9
"Bay County, FL",2013,150,174987,85.7
"Bay County, FL",2012,134,171903,78.0
"Bay County, FL",2017,123,183563,67.0
"Bay County, FL",2014,99,178985,55.3
"Bay County, FL",2016,92,183974,50.0
"Bay County, FL",2015,71,181635,39.1
"Bay County, MI",2012,86,106935,80.4
"Bay County, MI",2017,76,104239,72.9
"Bay County, MI",2015,75,105659,71.0
"Bay County, MI",2016,74,104747,70.6
"Bay County, MI",2013,65,106832,60.8
"Bay County, MI",2014,61,106179,57.5
"Beaufort County, NC",2017,46,47088,97.7
"Beaufort County, NC",2012,46,47507,96.8
"Beaufort County, NC",2014,43,47585,90.4
"Beaufort County, NC",2015,42,47651,88.1
"Beaufort County, NC",2016,39,47526,82.1
"Beaufort County, NC",2013,37,47464,78.0
"Beaufort County, SC",2012,106,168049,63.1
"Beaufort County, SC",2013,104,171838,60.5
"Beaufort County, SC",2015,95,179589,52.9
"Beaufort County, SC",2014,92,175852,52.3
"Beaufort County, SC",2016,88,183149,48.0
"Beaufort County, SC",2017,79,186844,42.3
"Beauregard Parish, LA",2017,35,36928,94.8
"Beauregard Parish, LA",2014,33,36198,91.2
"Beauregard Parish, LA",2016,32,36927,86.7
"Beauregard Parish, LA",2013,26,36167,71.9
"Beauregard Parish, LA",2012,25,36281,68.9
"Beaver County, PA",2014,148,169392,87.4
"Beaver County, PA",2013,135,170115,79.4
"Beaver County, PA",2015,122,168871,72.2
"Beaver County, PA",2016,115,167429,68.7
"Beaver County, PA",2012,110,170245,64.6
"Beaver County, PA",2017,106,166140,63.8
"Becker County, MN",2013,29,33231,87.3
"Becker County, MN",2016,22,33734,65.2
"Becker County, MN",2017,22,34098,64.5
"Bedford County, PA",2015,40,48586,82.3
"Bedford County, PA",2017,33,48480,68.1
"Bedford County, PA",2013,33,49055,67.3
"Bedford County, PA",2016,31,48325,64.1
"Bedford County, PA",2014,31,48946,63.3
"Bedford County, PA",2012,24,49324,48.7
"Bedford County, TN",2016,38,47484,80.0
"Bedford County, TN",2012,33,45573,72.4
"Bedford County, TN",2017,31,48117,64.4
"Bedford County, TN",2015,26,47183,55.1
"Bedford County, TN",2013,20,45901,43.6
"Bedford County, TN",2014,20,46627,42.9
"Bedford County, VA",2014,58,76583,75.7
"Bedford County, VA",2012,50,69590,71.8
"Bedford County, VA",2017,51,77974,65.4
"Bedford County, VA",2015,47,77724,60.5
"Bedford County, VA",2016,46,77960,59.0
"Bedford County, VA",2013,40,69825,57.3
"Belknap County, NH",2012,50,60327,82.9
"Belknap County, NH",2015,47,60641,77.5
"Belknap County, NH",2016,47,60779,77.3
"Belknap County, NH",2014,41,60305,68.0
"Belknap County, NH",2013,36,60179,59.8
"Belknap County, NH",2017,33,60785,54.3
"Bell County, KY",2017,34,26894,126.4
"Bell County, KY",2014,34,27778,122.4
"Bell County, KY",2015,33,27337,120.7
"Bell County, KY",2012,34,28183,120.6
"Bell County, KY",2016,23,27117,84.8
"Bell County, TX",2014,141,329140,42.8
"Bell County, TX",2013,139,326843,42.5
"Bell County, TX",2017,147,347833,42.3
"Bell County, TX",2015,140,334941,41.8
"Bell County, TX",2012,127,323037,39.3
"Bell County, TX",2016,124,340411,36.4
"Belmont County, OH",2014,56,69461,80.6
"Belmont County, OH",2016,55,68673,80.1
"Belmont County, OH",2015,53,69154,76.6
"Belmont County, OH",2017,48,68029,70.6
"Belmont County, OH",2013,49,69571,70.4
"Belmont County, OH",2012,43,69671,61.7
"Beltrami County, MN",2015,25,45672,54.7
"Beltrami County, MN",2012,22,45375,48.5
"Beltrami County, MN",2014,22,45664,48.2
"Beltrami County, MN",2017,22,46513,47.3
"Beltrami County, MN",2013,21,45670,46.0
"Bennington County, VT",2014,36,36445,98.8
"Bennington County, VT",2016,34,36191,93.9
"Bennington County, VT",2015,31,36317,85.4
"Bennington County, VT",2013,26,36659,70.9
"Benton County, AR",2012,117,232268,50.4
"Benton County, AR",2013,110,237297,46.4
"Benton County, AR",2015,114,249672,45.7
"Benton County, AR",2014,105,242321,43.3
"Benton County, AR",2017,107,266300,40.2
"Benton County, AR",2016,99,258291,38.3
"Benton County, IA",2017,23,25642,89.7
"Benton County, IA",2015,21,25658,81.8
"Benton County, MN",2013,20,39214,51.0
"Benton County, MO",2015,33,18670,176.8
"Benton County, MO",2017,32,19074,167.8
"Benton County, MO",2013,30,18932,158.5
"Benton County, MO",2012,29,18962,152.9
"Benton County, MO",2016,25,18839,132.7
"Benton County, MO",2014,23,18806,122.3
"Benton County, OR",2012,40,86430,46.3
"Benton County, OR",2014,33,86316,38.2
"Benton County, OR",2017,32,90951,35.2
"Benton County, OR",2016,30,89385,33.6
"Benton County, OR",2013,23,86591,26.6
"Benton County, OR",2015,23,87572,26.3
"Benton County, TN",2014,27,16145,167.2
"Benton County, TN",2016,25,16014,156.1
"Benton County, TN",2013,24,16290,147.3
"Benton County, TN",2012,21,16361,128.4
"Benton County, WA",2012,91,182398,49.9
"Benton County, WA",2013,86,184486,46.6
"Benton County, WA",2015,82,190309,43.1
"Benton County, WA",2014,80,186486,42.9
"Benton County, WA",2016,71,193686,36.7
"Benton County, WA",2017,62,198171,31.3
"Benzie County, MI",2013,21,17428,120.5
"Bergen County, NJ",2012,404,918888,44.0
"Bergen County, NJ",2013,405,925328,43.8
"Bergen County, NJ",2015,384,938506,40.9
"Bergen County, NJ",2016,364,939151,38.8
"Bergen County, NJ",2014,357,933572,38.2
"Bergen County, NJ",2017,335,948406,35.3
"Berkeley County, SC",2013,110,194020,56.7
"Berkeley County, SC",2014,111,198205,56.0
"Berkeley County, SC",2016,114,210898,54.1
"Berkeley County, SC",2012,102,189781,53.7
"Berkeley County, SC",2017,108,217937,49.6
"Berkeley County, SC",2015,100,202786,49.3
"Berkeley County, WV",2016,76,113525,66.9
"Berkeley County, WV",2014,72,110497,65.2
"Berkeley County, WV",2012,69,107098,64.4
"Berkeley County, WV",2015,70,111901,62.6
"Berkeley County, WV",2017,66,114920,57.4
"Berkeley County, WV",2013,61,108706,56.1
"Berks County, PA",2016,239,414812,57.6
"Berks County, PA",2015,225,415271,54.2
"Berks County, PA",2013,218,413521,52.7
"Berks County, PA",2014,218,413691,52.7
"Berks County, PA",2012,215,413491,52.0
"Berks County, PA",2017,206,417854,49.3
"Berkshire County, MA",2015,100,127828,78.2
"Berkshire County, MA",2016,93,126903,73.3
"Berkshire County, MA",2012,94,130016,72.3
"Berkshire County, MA",2013,90,129585,69.5
"Berkshire County, MA",2017,87,126313,68.9
"Berkshire County, MA",2014,84,128715,65.3
"Bernalillo County, NM",2012,219,673460,32.5
"Bernalillo County, NM",2013,216,674221,32.0
"Bernalillo County, NM",2016,212,676953,31.3
"Bernalillo County, NM",2015,210,676685,31.0
"Bernalillo County, NM",2014,207,675551,30.6
"Bernalillo County, NM",2017,207,676773,30.6
"Berrien County, MI",2012,125,156067,80.1
"Berrien County, MI",2017,110,154259,71.3
"Berrien County, MI",2015,108,154636,69.8
"Berrien County, MI",2014,105,155233,67.6
"Berrien County, MI",2016,99,154010,64.3
"Berrien County, MI",2013,97,155252,62.5
"Bertie County, NC",2016,20,19854,100.7
"Bexar County, TX",2012,529,1785704,29.6
"Bexar County, TX",2013,531,1817610,29.2
"Bexar County, TX",2014,532,1855866,28.7
"Bexar County, TX",2015,481,1897753,25.3
"Bexar County, TX",2017,474,1958578,24.2
"Bexar County, TX",2016,446,1928680,23.1
"Bibb County, GA",2013,108,154721,69.8
"Bibb County, GA",2014,99,153905,64.3
"Bibb County, GA",2012,98,156462,62.6
"Bibb County, GA",2015,78,153721,50.7
"Bibb County, GA",2017,76,152862,49.7
"Bibb County, GA",2016,71,152760,46.5
"Black Hawk County, IA",2012,83,131820,63.0
"Black Hawk County, IA",2015,80,133455,59.9
"Black Hawk County, IA",2017,74,132648,55.8
"Black Hawk County, IA",2013,73,132546,55.1
"Black Hawk County, IA",2014,65,132897,48.9
"Black Hawk County, IA",2016,63,132904,47.4
"Bladen County, NC",2015,33,34318,96.2
"Bladen County, NC",2012,33,34915,94.5
"Bladen County, NC",2016,30,33741,88.9
"Bladen County, NC",2014,27,34657,77.9
"Bladen County, NC",2013,24,34843,68.9
"Bladen County, NC",2017,21,33478,62.7
"Blair County, PA",2015,104,125593,82.8
"Blair County, PA",2013,83,126314,65.7
"Blair County, PA",2016,81,124650,65.0
"Blair County, PA",2014,70,125955,55.6
"Blair County, PA",2017,64,123457,51.8
"Blair County, PA",2012,63,127121,49.6
"Blount County, AL",2016,45,57704,78.0
"Blount County, AL",2017,45,58013,77.6
"Blount County, AL",2015,42,57673,72.8
"Blount County, AL",2012,42,57826,72.6
"Blount County, AL",2014,41,57719,71.0
"Blount County, AL",2013,38,57872,65.7
"Blount County, TN",2014,101,126339,79.9
"Blount County, TN",2015,99,127253,77.8
"Blount County, TN",2012,96,124177,77.3
"Blount County, TN",2016,92,128670,71.5
"Blount County, TN",2013,89,125099,71.1
"Blount County, TN",2017,81,129929,62.3
