Notes,State,State Code,Year,Year Code,Sex,Sex Code,Race,Race Code,Age Group,Age Group Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Alabama,1,2008,2008,Female,F,White,2106-3,60-64 years ,60-64,126,104261,120.9,100.7,143.9,10.8
,Alabama,1,2008,2008,Female,F,White,2106-3,65-69 years,65-69,134,84415,158.7,133,188,13.7
,Alabama,1,2008,2008,Female,F,White,2106-3,70-74 years,70-74,170,68690,247.5,211.7,287.6,19
,Alabama,1,2008,2008,Female,F,White,2106-3,75-79 years,75-79,150,56648,264.8,224.1,310.7,21.6
,Alabama,1,2008,2008,Female,F,White,2106-3,80-84 years,80-84,121,44664,270.9,224.8,323.7,24.6
,Alabama,1,2008,2008,Female,F,White,2106-3,85+ years,85+,108,40768,264.9,217.3,319.8,25.5
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,45-49 years,45-49,24,40462,59.3,38,88.3,12.1
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,50-54 years,50-54,27,39658,68.1,44.9,99.1,13.1
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,55-59 years,55-59,46,32982,139.5,102.1,186,20.6
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,60-64 years ,60-64,44,22609,194.6,141.4,261.3,29.3
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,65-69 years,65-69,58,15530,373.5,283.6,482.8,49
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,70-74 years,70-74,46,11608,396.3,290.1,528.6,58.4
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,75-79 years,75-79,42,7965,527.3,380,712.8,81.4
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,80-84 years,80-84,26,4804,541.2,353.5,793,106.1
,Alabama,1,2008,2008,Male,M,Black or African American,2054-5,85+ years,85+,19,3563,533.3,321.1,832.7,122.3
,Alabama,1,2008,2008,Male,M,White,2106-3,40-44 years,40-44,16,115668,13.8,7.9,22.5,3.5
,Alabama,1,2008,2008,Male,M,White,2106-3,45-49 years,45-49,46,125940,36.5,26.7,48.7,5.4
,Alabama,1,2008,2008,Male,M,White,2106-3,50-54 years,50-54,80,122517,65.3,51.8,81.3,7.3
,Alabama,1,2008,2008,Male,M,White,2106-3,55-59 years,55-59,131,109949,119.1,99.6,141.4,10.4
